title,address,latitude,longitude,city,state,postal_code,price,facts and features,real estate provider,url
Townhouse For Sale,3306 Paces Ferry Ave SE # 3,33.865506,-84.465176,Atlanta,GA,30339,"$1,050,000","3 bds , 5 ba , -- sqft",Dorsey Alston Realtors,https://www.zillow.com/homedetails/3306-Paces-Ferry-Ave-SE-3-Atlanta-GA-30339/69327592_zpid/
Condo For Sale,3300 Windy Ridge Pkwy SE UNIT 910,33.904134,-84.45602,Atlanta,GA,30339,"$399,000","2 bds , 2 ba , 1,515 sqft",Zellerman,https://www.zillow.com/homedetails/3300-Windy-Ridge-Pkwy-SE-UNIT-910-Atlanta-GA-30339/87685130_zpid/
Condo For Sale,4711 Ivy Ridge Dr,33.842746,-84.485291,Rabun Gap,GA,30339,"$400,000","4 bds , 4 ba , -- sqft",Berkshire Hathaway HomeServices Georgia Properties - East Cobb,https://www.zillow.com/homedetails/4711-Ivy-Ridge-Dr-Rabun-Gap-GA-30339/2090336243_zpid/
Condo For Sale,3300 Windy Ridge Pkwy SE UNIT 1413,33.904081,-84.455916,Atlanta,GA,30339,"$389,000","2 bds , 4 ba , 1,344 sqft",,https://www.zillow.com/homedetails/3300-Windy-Ridge-Pkwy-SE-UNIT-1413-Atlanta-GA-30339/87683447_zpid/
Townhouse For Sale,3066 Paces Ferry Ave SE # 3,33.859763,-84.47894,Atlanta,GA,30339,"$1,050,000","3 bds , 5 ba , -- sqft",Dorsey Alston Realtors,https://www.zillow.com/homedetails/3066-Paces-Ferry-Ave-SE-3-Atlanta-GA-30339/2090339863_zpid/
New Construction,Woodland Brook Drive And Paces Ferry Rd # WKKHL5,33.841093,-84.47323,Atlanta,GA,30339,,"-- bds , -- ba , -- sqft",,https://www.zillow.com/community/woodland-preserve/2091444833_zpid/
Townhouse For Sale,4743 Longcourt Dr SE,33.836016,-84.48535,Atlanta,GA,30339,"$269,900","3 bds , 3 ba , 2,176 sqft",,https://www.zillow.com/homedetails/4743-Longcourt-Dr-SE-Atlanta-GA-30339/60838042_zpid/
Condo For Sale,4711 Ivy Ridge Dr SE,33.844059,-84.485241,Atlanta,GA,30339,"$400,000","4 bds , 4 ba , 3,282 sqft",Berkshire Hathaway HomeServices Georgia Properties - East Cobb,https://www.zillow.com/homedetails/4711-Ivy-Ridge-Dr-SE-Atlanta-GA-30339/60157006_zpid/
House For Sale,4619 Woodland Brook Dr SE,33.841057,-84.472086,Atlanta,GA,30339,"$599,000","5 bds , 4 ba , 4,679 sqft",,https://www.zillow.com/homedetails/4619-Woodland-Brook-Dr-SE-Atlanta-GA-30339/14316707_zpid/
Condo For Sale,1655 Woodwalk Strm SE,33.910155,-84.462131,Atlanta,GA,30339,"$429,000","3 bds , 4 ba , 3,638 sqft",,https://www.zillow.com/homedetails/1655-Woodwalk-Strm-SE-Atlanta-GA-30339/2090396626_zpid/
Condo For Sale,4714 Ivy Ridge Dr SE # 4714,33.843921,-84.485537,Atlanta,GA,30339,"$430,000","3 bds , 4 ba , 3,850 sqft",,https://www.zillow.com/homedetails/4714-Ivy-Ridge-Dr-SE-4714-Atlanta-GA-30339/2090410468_zpid/
Townhouse For Sale,1655 Woodwalk Strm SE # 6,33.910587,-84.462757,Atlanta,GA,30339,"$429,000","3 bds , 4 ba , 3,638 sqft",,https://www.zillow.com/homedetails/1655-Woodwalk-Strm-SE-6-Atlanta-GA-30339/71116499_zpid/
Townhouse For Sale,5282 Kershaw Ct SE # 1,33.824696,-84.486073,Atlanta,GA,30339,"$265,000","3 bds , 4 ba , 2,320 sqft",THE REALTY GROUP,https://www.zillow.com/homedetails/5282-Kershaw-Ct-SE-1-Atlanta-GA-30339/2090420706_zpid/
House For Sale,2696 Woodland Brook Ln SE,33.839277,-84.475886,Atlanta,GA,30339,"$415,000","4 bds , 3 ba , 2,757 sqft",RE/MAX Metro Atlanta Cityside,https://www.zillow.com/homedetails/2696-Woodland-Brook-Ln-SE-Atlanta-GA-30339/14314738_zpid/
Townhouse For Sale,1630 Rivergreen Bnd SE,33.863607,-84.446003,Atlanta,GA,30339,"$424,000","4 bds , 4 ba , 3,464 sqft",BEACHAM AND COMPANY REALTORS,https://www.zillow.com/homedetails/1630-Rivergreen-Bnd-SE-Atlanta-GA-30339/2090456122_zpid/
Townhouse For Sale,3611 Stonewall Ct SE,33.876411,-84.466947,Atlanta,GA,30339,"$219,900","3 bds , 4 ba , 2,506 sqft",Dorsey Alston Realtors,https://www.zillow.com/homedetails/3611-Stonewall-Ct-SE-Atlanta-GA-30339/14317101_zpid/
