title,address,latitude,longitude,city,state,postal_code,price,facts and features,real estate provider,url
New Construction,3008 Eamont Ter,33.914116,-84.383711,Sandy Springs,GA,30328,"$861,070","5 bds , 5 ba , 3,975 sqft",,https://www.zillow.com/homedetails/3008-Eamont-Ter-Sandy-Springs-GA-30328/2091438804_zpid/
New Construction,2065 Wheaton Way,33.914116,-84.383711,Sandy Springs,GA,30328,"$694,210","4 bds , 5 ba , 3,225 sqft",,https://www.zillow.com/homedetails/2065-Wheaton-Way-Sandy-Springs-GA-30328/2094460864_zpid/
House For Sale,495 Abernathy Rd,33.936951,-84.370983,SANDY SPRINGS,GA,30328,"$429,900","4 bds , 2 ba , -- sqft",Atlanta Communities,https://www.zillow.com/homedetails/495-Abernathy-Rd-Sandy-Springs-GA-30328/35936858_zpid/
House For Sale,505 River Valley Rd,33.928988,-84.403797,SANDY SPRINGS,GA,30328,"$638,000","4 bds , 6 ba , 4,810 sqft",,https://www.zillow.com/homedetails/505-River-Valley-Rd-Sandy-Springs-GA-30328/35905583_zpid/
House For Sale,6885 Hunters Knl,33.942886,-84.350699,SANDY SPRINGS,GA,30328,"$599,000","5 bds , 4 ba , 3,974 sqft",BEACHAM AND COMPANY REALTORS,https://www.zillow.com/homedetails/6885-Hunters-Knl-Sandy-Springs-GA-30328/35917970_zpid/
New Construction,2009 Wheaton Way # V5CXZG,33.914116,-84.383711,Sandy Springs,GA,30328,"$697,990+","4 bds , 3.5 ba , 3,225+ sqft",,https://www.zillow.com/community/atwater/2096260020_zpid/
New Construction,740 Abernathy Rd NE # YPT5RZ,33.937569,-84.365104,Sandy Springs,GA,30328,"$364,900+","1 bd , 1.5 ba , 1,036+ sqft",,https://www.zillow.com/community/aria/2094950485_zpid/
New Construction,740 Abernathy Rd NE # 82XVO6,33.937569,-84.365104,Sandy Springs,GA,30328,"$404,900+","1 bd , 2.5 ba , 1,615+ sqft",,https://www.zillow.com/community/aria/2094950484_zpid/
Condo For Sale,799 Hammond Dr,33.917487,-84.3594,Atlanta,GA,30328,"$278,500","2 bds , 3 ba , 1,250 sqft",Keller Williams Atl.Perimeter,https://www.zillow.com/homedetails/799-Hammond-Dr-Atlanta-GA-30328/2104193574_zpid/
Condo For Sale,799 Hammond Dr UNIT 409,33.917487,-84.3594,Sandy springs,GA,30328,"$278,500","2 bds , 3 ba , 1,252 sqft",,https://www.zillow.com/homedetails/799-Hammond-Dr-UNIT-409-Sandy-Springs-GA-30328/69365341_zpid/
New Construction,740 Abernathy Rd NE # ENSPNM,33.937569,-84.365104,Sandy Springs,GA,30328,"$569,900+","3 bds , 3.5 ba , 2,344+ sqft",,https://www.zillow.com/community/aria/2094950488_zpid/
House For Sale,140 River North Ct,33.947341,-84.39603,SANDY SPRINGS,GA,30328,"$695,000","4 bds , 4 ba , 4,741 sqft",,https://www.zillow.com/homedetails/140-River-North-Ct-Sandy-Springs-GA-30328/35904762_zpid/
House For Sale,989 Winding Creek Trl,33.932323,-84.408011,SANDY SPRINGS,GA,30328,"$499,000","3 bds , 2 ba , 2,699 sqft",Ansley Atlanta Real Estate,https://www.zillow.com/homedetails/989-Winding-Creek-Trl-Sandy-Springs-GA-30328/35912736_zpid/
New Construction,740 Abernathy Rd NE # AGNVXL,33.937569,-84.365104,Sandy Springs,GA,30328,"$684,900+","3 bds , 3.5 ba , 3,109+ sqft",,https://www.zillow.com/community/aria/2094950505_zpid/
New Construction,740 Abernathy Rd NE # Q6SEJV,33.937569,-84.365104,Sandy Springs,GA,30328,"$999,900+","3 bds , 3 ba , 3,108+ sqft",,https://www.zillow.com/community/aria/2094925442_zpid/
New Construction,740 Abernathy Rd NE # PI2BRU,33.937569,-84.365104,Sandy Springs,GA,30328,"$564,900+","3 bds , 3.5 ba , 2,171+ sqft",,https://www.zillow.com/community/aria/2094950489_zpid/
New Construction,740 Abernathy Rd NE # JGEYS,33.937569,-84.365104,Sandy Springs,GA,30328,"$924,900+","3 bds , 3.5 ba , 4,011+ sqft",,https://www.zillow.com/community/aria/2094925441_zpid/
New Construction,740 Abernathy Rd NE # 1YN9B6,33.937569,-84.365104,Sandy Springs,GA,30328,"$684,900+","4 bds , 3.5 ba , 3,216+ sqft",,https://www.zillow.com/community/aria/2094950502_zpid/
For Sale by Owner,455 Stone Mill Trl,33.945023,-84.384438,SANDY SPRINGS,GA,30328,"$1,776,074","4 bds , 5 ba , 3,522 sqft",,https://www.zillow.com/homedetails/455-Stone-Mill-Trl-Sandy-Springs-GA-30328/35939276_zpid/
New Construction,740 Abernathy Rd NE # TGC5RN,33.937569,-84.365104,Sandy Springs,GA,30328,"$559,900+","3 bds , 3.5 ba , 2,285+ sqft",,https://www.zillow.com/community/aria/2094950509_zpid/
New Construction,740 Abernathy Rd NE # 3LRSZH,33.937569,-84.365104,Sandy Springs,GA,30328,"$939,900+","3 bds , 4.5 ba , 4,198+ sqft",,https://www.zillow.com/community/aria/2094925439_zpid/
New Construction,2064 Wheaton Way,33.914116,-84.383711,Sandy Springs,GA,30328,"$694,225","4 bds , 4 ba , 3,050 sqft",,https://www.zillow.com/homedetails/2064-Wheaton-Way-Sandy-Springs-GA-30328/2091711655_zpid/
New Construction,740 Abernathy Rd NE # 7PRVVC,33.937569,-84.365104,Sandy Springs,GA,30328,"$584,900+","3 bds , 3.5 ba , 2,776+ sqft",,https://www.zillow.com/community/aria/2094950487_zpid/
New Construction,740 Abernathy Rd NE # N30WTZ,33.937569,-84.365104,Sandy Springs,GA,30328,"$694,900+","3 bds , 3.5 ba , 3,232+ sqft",,https://www.zillow.com/community/aria/2094950506_zpid/
House For Sale,640 River Valley Rd,33.924828,-84.406244,ATLANTA,GA,30328,"$635,000","4 bds , 2 ba , 2,597 sqft",,https://www.zillow.com/homedetails/640-River-Valley-Rd-Atlanta-GA-30328/35905836_zpid/
New Construction,740 Abernathy Rd NE # LSR247,33.937569,-84.365104,Sandy Springs,GA,30328,"$659,900+","3 bds , 3.5 ba , 2,948+ sqft",,https://www.zillow.com/community/aria/2094950495_zpid/
House For Sale,1 Bonnie Ln,33.928848,-84.386099,SANDY SPRINGS,GA,30328,"$640,000","6 bds , 5 ba , 4,013 sqft",,https://www.zillow.com/homedetails/1-Bonnie-Ln-Sandy-Springs-GA-30328/65452370_zpid/
New Construction,740 Abernathy Rd NE # 2D96PO,33.937569,-84.365104,Sandy Springs,GA,30328,"$584,900+","3 bds , 3.5 ba , 2,776+ sqft",,https://www.zillow.com/community/aria/2094950486_zpid/
New Construction,5995 Teton Way # B-4,33.9314,-84.3762,Sandy Springs,GA,30328,"$859,000","4 bds , 4 ba , 3,492 sqft",BEACHAM AND COMPANY REALTORS,https://www.zillow.com/homedetails/5995-Teton-Way-B-4-Sandy-Springs-GA-30328/2091796489_zpid/
House For Sale,435 Amberidge Trl,33.935383,-84.40203,SANDY SPRINGS,GA,30328,"$629,900","5 bds , 3 ba , 3,720 sqft",,https://www.zillow.com/homedetails/435-Amberidge-Trl-Sandy-Springs-GA-30328/35905494_zpid/
Townhouse For Sale,104 Bradford Dr,33.9145,-84.3622,ATLANTA,GA,30328,"$510,000","3 bds , 4 ba , 2,528 sqft",,https://www.zillow.com/homedetails/104-Bradford-Dr-Atlanta-GA-30328/125114986_zpid/
House For Sale,7430 Talbot Colony,33.954273,-84.355306,Sandy Springs,GA,30328,"$499,995","4 bds , 3 ba , 3,196 sqft",Mark Spain Real Estate,https://www.zillow.com/homedetails/7430-Talbot-Colony-Sandy-Springs-GA-30328/35920815_zpid/
New Construction,325 River Valley Rd,33.933924,-84.398347,ATLANTA,GA,30328,"$2,450,000","6 bds , 7 ba , 5,063 sqft",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/325-River-Valley-Rd-Atlanta-GA-30328/35905466_zpid/
New Construction,740 Abernathy Rd NE # OFHIXC,33.937569,-84.365104,Sandy Springs,GA,30328,"$819,900+","4 bds , 3.5 ba , 3,221+ sqft",,https://www.zillow.com/community/aria/2094950494_zpid/
House For Sale,394 Carriage Dr,33.926088,-84.374264,SANDY SPRINGS,GA,30328,"$1,175,000","5 bds , 7 ba , 6,009 sqft",,https://www.zillow.com/homedetails/394-Carriage-Dr-Sandy-Springs-GA-30328/35936226_zpid/
House For Sale,394 Carriage Dr,33.926088,-84.374264,SANDY SPRINGS,GA,30328,"$1,175,000","5 bds , 7 ba , 6,009 sqft",,https://www.zillow.com/homedetails/394-Carriage-Dr-Sandy-Springs-GA-30328/35936226_zpid/
New Construction,740 Abernathy Rd NE # 36QGKH,33.937569,-84.365104,Sandy Springs,GA,30328,"$559,900+","3 bds , 3.5 ba , 2,285+ sqft",,https://www.zillow.com/community/aria/2094950493_zpid/
House For Sale,825 Spalding Dr,33.954351,-84.359258,Sandy Springs,GA,30328,"$425,000","4 bds , 3 ba , 5,123 sqft",Berkshire Hathaway HomeServices Georgia Properties - Dunwoody Sandy Springs,https://www.zillow.com/homedetails/825-Spalding-Dr-Sandy-Springs-GA-30328/35925809_zpid/
House For Sale,6440 River Chase Cir,33.922674,-84.424326,SANDY SPRINGS,GA,30328,"$720,000","4 bds , 3 ba , 3,608 sqft",Coldwell Banker Residential Brokerage - Sandy Springs,https://www.zillow.com/homedetails/6440-River-Chase-Cir-Sandy-Springs-GA-30328/35912963_zpid/
Condo For Sale,6980 Roswell Rd UNIT K12,33.945119,-84.372969,Atlanta,GA,30328,"$173,500","2 bds , 1 ba , 1,139 sqft",BHGRE METRO BROKERS,https://www.zillow.com/homedetails/6980-Roswell-Rd-UNIT-K12-Atlanta-GA-30328/98003705_zpid/
House For Sale,410 Dalrymple Rd,33.955685,-84.374484,Sandy Springs,GA,30328,"$569,900","4 bds , 3 ba , 3,832 sqft",Muffley & Associates,https://www.zillow.com/homedetails/410-Dalrymple-Rd-Sandy-Springs-GA-30328/2096956357_zpid/
New Construction,740 Abernathy Rd NE # GSIEYD,33.937569,-84.365104,Sandy Springs,GA,30328,"$799,900+","4 bds , 3.5 ba , 3,262+ sqft",,https://www.zillow.com/community/aria/2094950504_zpid/
Condo For Sale,475 Mount Vernon Hwy NE APT B210,33.923857,-84.369362,Sandy springs,GA,30328,"$82,900","2 bds , 2 ba , 932 sqft",HAYNES AND ASSOCIATES,https://www.zillow.com/homedetails/475-Mount-Vernon-Hwy-NE-APT-B210-Sandy-Springs-GA-30328/35936342_zpid/
House For Sale,695 Glenairy Dr,33.921428,-84.36371,Atlanta,GA,30328,"$1,600,000","6 bds , 7 ba , 4,700 sqft",Dorsey Alston Realtors,https://www.zillow.com/homedetails/695-Glenairy-Dr-Atlanta-GA-30328/2104348469_zpid/
New Construction,740 Abernathy Rd NE # 3EGQK0,33.937569,-84.365104,Sandy Springs,GA,30328,"$674,900+","3 bds , 3.5 ba , 3,031+ sqft",,https://www.zillow.com/community/aria/2094950500_zpid/
New Construction,740 Abernathy Rd NE # 870SUY,33.937569,-84.365104,Sandy Springs,GA,30328,"$849,900+","4 bds , 3.5 ba , 3,535+ sqft",,https://www.zillow.com/community/aria/2094950510_zpid/
House For Sale,539 Johnson Ferry Rd NE,33.922451,-84.369817,SANDY SPRINGS,GA,30328,"$923,198","5 bds , 6 ba , 5,500 sqft",The Dazsh Group LLC,https://www.zillow.com/homedetails/539-Johnson-Ferry-Rd-NE-Sandy-Springs-GA-30328/35936170_zpid/
House For Sale,100 Breakwater Cir,33.94017,-84.397957,SANDY SPRINGS,GA,30328,"$649,900","5 bds , 5 ba , 6,300 sqft",BEACHAM AND COMPANY REALTORS,https://www.zillow.com/homedetails/100-Breakwater-Cir-Sandy-Springs-GA-30328/35905067_zpid/
House For Sale,6590 Bridgewood Valley Rd,33.934191,-84.393985,Sandy Springs,GA,30328,"$525,000","4 bds , 3 ba , 2,573 sqft",Muffley & Associates,https://www.zillow.com/homedetails/6590-Bridgewood-Valley-Rd-Sandy-Springs-GA-30328/35904248_zpid/
House For Sale,120 Marsh Glen Pt,33.943003,-84.396616,SANDY SPRINGS,GA,30328,"$675,000","6 bds , 5 ba , 3,596 sqft",,https://www.zillow.com/homedetails/120-Marsh-Glen-Pt-Sandy-Springs-GA-30328/35904549_zpid/
Lot/Land For Sale,714 Bass Way,33.93132,-84.37357,Sandy Springs,GA,30328,"$485,000",0.71 ac lot,Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/714-Bass-Way-Sandy-Springs-GA-30328/2095635264_zpid/
Lot/Land For Sale,712 Bass Way,33.91531,-84.398357,Sandy Springs,GA,30328,"$455,000",0.68 ac lot,Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/712-Bass-Way-Sandy-Springs-GA-30328/2099303020_zpid/
For Sale by Owner,7200 Lancaster Loop,33.948596,-84.372713,ATLANTA,GA,30328,"$185,000","4 bds , 4 ba , 2,176 sqft",,https://www.zillow.com/homedetails/7200-Lancaster-Loop-Atlanta-GA-30328/35937659_zpid/
New Construction,740 Abernathy Rd NE # 30FSQE,33.937569,-84.365104,Sandy Springs,GA,30328,"$339,900+","1 bd , 2 ba , 1,023+ sqft",,https://www.zillow.com/community/aria/2094950490_zpid/
Lot/Land For Sale,277 Mount Vernon Hwy NW,33.918078,-84.396542,SANDY SPRINGS,GA,30328,"$2,450,000",2.10 ac lot,Coldwell Banker Residential Brokerage - Alpharetta/North Point,https://www.zillow.com/homedetails/277-Mount-Vernon-Hwy-NW-Sandy-Springs-GA-30328/35903824_zpid/
New Construction,444 Hilderbrand Dr # 0,33.9215,-84.37286,Sandy Springs,GA,30328,"$1,125,000","4 bds , 5 ba , 4,145 sqft",,https://www.zillow.com/homedetails/444-Hilderbrand-Dr-0-Sandy-Springs-GA-30328/2100548689_zpid/
New Construction,444 Hilderbrand Dr,33.921505,-84.372855,SANDY SPRINGS,GA,30328,"$1,125,000","4 bds , 5 ba , 4,145 sqft",,https://www.zillow.com/homedetails/444-Hilderbrand-Dr-Sandy-Springs-GA-30328/35936157_zpid/
House For Sale,5715 Cameron Hall Pl,33.915793,-84.388108,Sandy Springs,GA,30328,"$500,000","3 bds , 3 ba , 3,706 sqft",KELLER KNAPP INC,https://www.zillow.com/homedetails/5715-Cameron-Hall-Pl-Sandy-Springs-GA-30328/2092284340_zpid/
House For Sale,420 Riverhill Dr,33.925335,-84.393571,Sandy Springs,GA,30328,"$650,000","4 bds , 4 ba , 2,897 sqft",Berkshire Hathaway HomeServices Georgia Properties - Dunwoody Sandy Springs,https://www.zillow.com/homedetails/420-Riverhill-Dr-Sandy-Springs-GA-30328/35904002_zpid/
