title,address,latitude,longitude,city,state,postal_code,price,facts and features,real estate provider,url
New Construction,3508 Fenton Dr SE # W9LPMF,33.867754,-84.493176,Smyrna,GA,30080,"$455,000+","3 bds , 3 ba , 2,450+ sqft",,https://www.zillow.com/community/lylebrooke/2093521819_zpid/
New Construction,3370 Bryerstone Cir SE,33.870078,-84.48374,Smyrna,GA,30080,"$677,489","4 bds , 5 ba , 3,251 sqft",The Providence Group Realty LLC,https://www.zillow.com/homedetails/3370-Bryerstone-Cir-SE-Smyrna-GA-30080/171299209_zpid/
New Construction,3366 Bryerstone Cir SE,33.870242,-84.483726,Smyrna,GA,30080,"$663,104","5 bds , 4 ba , 3,500 sqft",The Providence Group Realty LLC,https://www.zillow.com/homedetails/3366-Bryerstone-Cir-SE-Smyrna-GA-30080/171299046_zpid/
House For Sale,753 Taylor Dr SE,33.910408,-84.533689,Smyrna,GA,30080,"$190,000","3 bds , 2 ba , 1,480 sqft",Keller Williams Rlty Cityside,https://www.zillow.com/homedetails/753-Taylor-Dr-SE-Smyrna-GA-30080/171163154_zpid/
New Construction,1220 Stone Castle Cir # 6,33.8751,-84.5034,Smyrna,GA,30080,"$424,845","4 bds , 4 ba , 2,400 sqft",BHHS Georgia Properties,https://www.zillow.com/homedetails/1220-Stone-Castle-Cir-6-Smyrna-GA-30080/2090288073_zpid/
House For Sale,1355 Marston St SE,33.890094,-84.513776,SMYRNA,GA,30080,"$504,900","6 bds , 6 ba , 4,750 sqft",Virgent Realty Inc,https://www.zillow.com/homedetails/1355-Marston-St-SE-Smyrna-GA-30080/14304954_zpid/
Condo For Sale,1204 Stone Castle Cir UNIT 2,33.8751,-84.5034,Smyrna,GA,30080,"$410,222","4 bds , 4 ba , 2,400 sqft",Berkshire Hathaway HomeServices Georgia Properties - New Homes Division,https://www.zillow.com/homedetails/1204-Stone-Castle-Cir-UNIT-2-Smyrna-GA-30080/2090290790_zpid/
New Construction,2359 Montford Pl SE,33.862185,-84.485008,Smyrna,GA,30080,"$515,953","3 bds , 4 ba , 3,057 sqft",,https://www.zillow.com/homedetails/2359-Montford-Pl-SE-Smyrna-GA-30080/2090292055_zpid/
Townhouse For Sale,1423 Montclair Ct SE UNIT 12,33.879701,-84.510127,Smyrna,GA,30080,"$324,000","3 bds , 4 ba , 3,298 sqft",Engel & Volkers Atlanta North Fulton,https://www.zillow.com/homedetails/1423-Montclair-Ct-SE-UNIT-12-Smyrna-GA-30080/2090296638_zpid/
New Construction,2055 Cooper Lake Dr SE,33.855479,-84.494694,Smyrna,GA,30080,"$675,680","4 bds , 4 ba , 3,875 sqft",,https://www.zillow.com/homedetails/2055-Cooper-Lake-Dr-SE-Smyrna-GA-30080/2090299134_zpid/
Lot/Land For Sale,4390 W Atlanta Rd SE,33.846402,-84.49373,SMYRNA,GA,30080,"$1,000,000",1.50 ac lot,,https://www.zillow.com/homedetails/4390-W-Atlanta-Rd-SE-Smyrna-GA-30080/60156619_zpid/
Townhouse For Sale,5284 Kershaw Ct # 1,33.824696,-84.486818,Smyrna,GA,30080,"$265,000","3 bds , 3 ba , 2,332 sqft",GEORGIA REALTY BROKERS INTERNATIONAL CORPORATION,https://www.zillow.com/homedetails/5284-Kershaw-Ct-1-Smyrna-GA-30080/2090299101_zpid/
House For Sale,1815 Mackinaw Pl SE,33.871361,-84.500811,SMYRNA,GA,30080,"$269,900","3 bds , 2 ba , 1,120 sqft",Housepad,https://www.zillow.com/homedetails/1815-Mackinaw-Pl-SE-Smyrna-GA-30080/60156568_zpid/
House For Sale,1528 Whitfield St SE,33.886712,-84.508546,SMYRNA,GA,30080,"$614,900","4 bds , 4 ba , 3,650 sqft",,https://www.zillow.com/homedetails/1528-Whitfield-St-SE-Smyrna-GA-30080/60155995_zpid/
Condo For Sale,4805 W Village Way SE APT 2101,33.84072,-84.488062,Smyrna,GA,30080,"$250,000","3 bds , 2 ba , 1,475 sqft",,https://www.zillow.com/homedetails/4805-W-Village-Way-SE-APT-2101-Smyrna-GA-30080/2090299118_zpid/
House For Sale,4517 Chelton Ct SE,33.84403,-84.495265,SMYRNA,GA,30080,"$380,000","3 bds , 4 ba , 2,468 sqft",,https://www.zillow.com/homedetails/4517-Chelton-Ct-SE-Smyrna-GA-30080/14309261_zpid/
New Construction,1062 Bank St SE,33.884326,-84.522392,Smyrna,GA,30080,"$695,000","5 bds , 4 ba , 3,485 sqft",,https://www.zillow.com/homedetails/1062-Bank-St-SE-Smyrna-GA-30080/2090303892_zpid/
New Construction,3776 Huger Pl SE # O1VSYS,33.861783,-84.485283,Smyrna,GA,30080,"$446,900+","3 bds , 4 ba , 2,233+ sqft",,https://www.zillow.com/community/park-at-paces-ferry/2092164100_zpid/
Townhouse For Sale,1826 Cumberland Valley Pl SE,33.884482,-84.499383,SMYRNA,GA,30080,"$115,000","1 bd , 2 ba , 1,008 sqft","Strategy Real Estate International, LLC.",https://www.zillow.com/homedetails/1826-Cumberland-Valley-Pl-SE-Smyrna-GA-30080/14308165_zpid/
Condo For Sale,2120 W Village Xing SE,33.842395,-84.49238,SMYRNA,GA,30080,"$485,000","3 bds , 5 ba , 3,616 sqft",Berkshire Hathaway HomeServices Georgia Properties - Smyrna-Vinings Office,https://www.zillow.com/homedetails/2120-W-Village-Xing-SE-Smyrna-GA-30080/80429521_zpid/
New Construction,136 Blakemore Dr SE # Q6LDF5,33.890601,-84.518367,Smyrna,GA,30080,"$427,990+","3 bds , 3 ba , 2,154+ sqft",,https://www.zillow.com/community/village-of-belmont-park/2100053478_zpid/
New Construction,228 Dellwood Dr SE # 3RZA36,33.891311,-84.519636,Smyrna,GA,30080,"$389,990+","4 bds , 4 ba , 2,438+ sqft",,https://www.zillow.com/community/village-of-belmont-commons/2100052200_zpid/
House For Sale,1070 Elle Ct SE,33.887803,-84.521314,SMYRNA,GA,30080,"$565,900","4 bds , 3 ba , 3,335 sqft",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/1070-Elle-Ct-SE-Smyrna-GA-30080/97982257_zpid/
House For Sale,4280 Atlanta Rd SE,33.849293,-84.494092,Smyrna,GA,30080,"$410,000","3 bds , 1 ba , 780 sqft",BHGRE METRO BROKERS,https://www.zillow.com/homedetails/4280-Atlanta-Rd-SE-Smyrna-GA-30080/14309313_zpid/
New Construction,518 Windy Hill Rd SE # A19X0Z,33.893773,-84.540961,Smyrna,GA,30080,"$397,400+","4 bds , 3 ba , 2,906+ sqft",,https://www.zillow.com/community/smyrna-grove/2095268103_zpid/
House For Sale,1082 Starline Dr SE,33.866067,-84.521949,SMYRNA,GA,30080,"$319,900","4 bds , 2 ba , 1,313 sqft",VIRTUAL PROPERTIES REALTY BIZ,https://www.zillow.com/homedetails/1082-Starline-Dr-SE-Smyrna-GA-30080/14303041_zpid/
New Construction,4400 W Atlanta Rd SE # D7T1LR,33.845951,-84.492309,Smyrna,GA,30080,"$435,990+","3 bds , 3 ba , 2,349+ sqft",,https://www.zillow.com/community/4400-west/2093539174_zpid/
New Construction,3508 Fenton Dr SE # N5MVSJ,33.867754,-84.493176,Smyrna,GA,30080,"$482,000+","3 bds , 2.5 ba , 2,290+ sqft",,https://www.zillow.com/community/lylebrooke/2093521818_zpid/
New Construction,228 Dellwood Dr SE # U4UYPL,33.891311,-84.519636,Smyrna,GA,30080,"$358,990+","3 bds , 3 ba , 1,794+ sqft",,https://www.zillow.com/community/village-of-belmont-commons/2092248087_zpid/
House For Sale,846 Wayland Ct SE,33.888815,-84.529476,SMYRNA,GA,30080,"$349,000","3 bds , 2 ba , 1,960 sqft",,https://www.zillow.com/homedetails/846-Wayland-Ct-SE-Smyrna-GA-30080/14301429_zpid/
New Construction,136 Blakemore Dr SE # X2ZY6B,33.891311,-84.519636,Smyrna,GA,30080,"$348,990+","3 bds , 4 ba , 1,806+ sqft",,https://www.zillow.com/community/village-of-belmont-cottages/2100052644_zpid/
New Construction,3421 Bryerstone Cir SE # 38N527,33.870612,-84.481587,Smyrna,GA,30080,"$619,900+","4 bds , 4 ba , 3,650+ sqft",,https://www.zillow.com/community/highpointe-at-vinings/2094344523_zpid/
New Construction,3421 Bryerstone Cir SE # RTA2CM,33.870612,-84.481587,Smyrna,GA,30080,"$671,900+","4 bds , 5 ba , 4,117+ sqft",,https://www.zillow.com/community/highpointe-at-vinings/2098080418_zpid/
Condo For Sale,1502 Country Park Dr SE,33.881511,-84.488836,SMYRNA,GA,30080,"$160,000","2 bds , 1 ba , 1,089 sqft",,https://www.zillow.com/homedetails/1502-Country-Park-Dr-SE-Smyrna-GA-30080/14311431_zpid/
House For Sale,3890 Glenhurst Dr SE,33.860573,-84.503857,SMYRNA,GA,30080,"$535,000","5 bds , 4 ba , 5,478 sqft",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/3890-Glenhurst-Dr-SE-Smyrna-GA-30080/14306445_zpid/
New Construction,518 Windy Hill Rd SE # YY643E,33.893773,-84.540961,Smyrna,GA,30080,"$403,900+","3 bds , 3 ba , 3,146+ sqft",,https://www.zillow.com/community/smyrna-grove/2095356586_zpid/
House For Sale,1210 Kingsview Dr SE # 2,33.863517,-84.516965,Smyrna,GA,30080,"$545,000","5 bds , 4 ba , 3,241 sqft",,https://www.zillow.com/homedetails/1210-Kingsview-Dr-SE-2-Smyrna-GA-30080/2090383950_zpid/
New Construction,3945 Central Garden Ct # WYZXBC,33.857775,-84.493916,Smyrna,GA,30080,"$639,900+","4 bds , 4 ba , 3,565+ sqft",,https://www.zillow.com/community/central-garden/2090754778_zpid/
New Construction,136 Blakemore Dr SE # UU665M,33.890601,-84.518367,Smyrna,GA,30080,"$451,990+","3 bds , 3 ba , 2,671+ sqft",,https://www.zillow.com/community/village-of-belmont-park/2100053476_zpid/
House For Sale,1526 Wedmore Ct SE,33.87854,-84.490527,SMYRNA,GA,30080,"$419,900","4 bds , 3 ba , 3,069 sqft",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/1526-Wedmore-Ct-SE-Smyrna-GA-30080/60156782_zpid/
New Construction,136 Blakemore Dr SE # 6ODWM9,33.891311,-84.519636,Smyrna,GA,30080,"$334,990+","3 bds , 3 ba , 1,643+ sqft",,https://www.zillow.com/community/village-of-belmont-cottages/2100052645_zpid/
New Construction,3421 Bryerstone Cir SE # 7LKOFW,33.870612,-84.481587,Smyrna,GA,30080,"$575,900+","4 bds , 3 ba , 3,413+ sqft",,https://www.zillow.com/community/highpointe-at-vinings/2094871075_zpid/
Condo For Sale,66 Fair Haven Way SE,33.896095,-84.495798,SMYRNA,GA,30080,"$110,000","1 bd , 2 ba , 881 sqft",,https://www.zillow.com/homedetails/66-Fair-Haven-Way-SE-Smyrna-GA-30080/14310129_zpid/
New Construction,3776 Huger Pl SE # DAUZDS,33.861783,-84.485283,Smyrna,GA,30080,"$444,900+","3 bds , 4 ba , 2,240+ sqft",,https://www.zillow.com/community/park-at-paces-ferry/2092164099_zpid/
