title,address,city,state,postal_code,price,#bedrooms,#bathrooms,sqft,real estate provider,url
Condo For Sale,4711 Ivy Ridge Dr SE,Atlanta,GA,30339,400000,4,4,"3,282",Berkshire Hathaway HomeServices Georgia Properties - East Cobb,https://www.zillow.com/homedetails/4711-Ivy-Ridge-Dr-SE-Atlanta-GA-30339/60157006_zpid/
House For Sale,4619 Woodland Brook Dr SE,Atlanta,GA,30339,599000,5,4,"4,679",,https://www.zillow.com/homedetails/4619-Woodland-Brook-Dr-SE-Atlanta-GA-30339/14316707_zpid/
Condo For Sale,1655 Woodwalk Strm SE,Atlanta,GA,30339,429000,3,4,"3,638",,https://www.zillow.com/homedetails/1655-Woodwalk-Strm-SE-Atlanta-GA-30339/2090396626_zpid/
Townhouse For Sale,4725 Longcourt Dr SE,Atlanta,GA,30339,265000,3,3,"2,368",,https://www.zillow.com/homedetails/4725-Longcourt-Dr-SE-Atlanta-GA-30339/2090398077_zpid/
Condo For Sale,4714 Ivy Ridge Dr SE # 4714,Atlanta,GA,30339,430000,3,4,"3,850",,https://www.zillow.com/homedetails/4714-Ivy-Ridge-Dr-SE-4714-Atlanta-GA-30339/2090410468_zpid/
Townhouse For Sale,1655 Woodwalk Strm SE # 6,Atlanta,GA,30339,429000,3,4,"3,638",,https://www.zillow.com/homedetails/1655-Woodwalk-Strm-SE-6-Atlanta-GA-30339/71116499_zpid/
Townhouse For Sale,5282 Kershaw Ct SE # 1,Atlanta,GA,30339,265000,3,4,"2,320",THE REALTY GROUP,https://www.zillow.com/homedetails/5282-Kershaw-Ct-SE-1-Atlanta-GA-30339/2090420706_zpid/
House For Sale,2708 Woodland Brook Ln SE,Atlanta,GA,30339,425000,4,3,"2,612",Coldwell Banker Residential Brokerage - Smyrna,https://www.zillow.com/homedetails/2708-Woodland-Brook-Ln-SE-Atlanta-GA-30339/14316751_zpid/
House For Sale,2696 Woodland Brook Ln SE,Atlanta,GA,30339,415000,4,3,"2,757",RE/MAX Metro Atlanta Cityside,https://www.zillow.com/homedetails/2696-Woodland-Brook-Ln-SE-Atlanta-GA-30339/14314738_zpid/
Townhouse For Sale,2439 Leaf Hollow Ct SE,Atlanta,GA,30339,265500,4,4,"2,291",,https://www.zillow.com/homedetails/2439-Leaf-Hollow-Ct-SE-Atlanta-GA-30339/2090442453_zpid/
Townhouse For Sale,1630 Rivergreen Bnd SE,Atlanta,GA,30339,424000,4,4,"3,464",BEACHAM AND COMPANY REALTORS,https://www.zillow.com/homedetails/1630-Rivergreen-Bnd-SE-Atlanta-GA-30339/2090456122_zpid/
New Construction,2808 Paces Lookout Ln SE,Atlanta,GA,30339,1050000,4,5,"3,600",,https://www.zillow.com/homedetails/2808-Paces-Lookout-Ln-SE-Atlanta-GA-30339/2090484326_zpid/
House For Sale,3110 Brandy Sta SE,Atlanta,GA,30339,935000,5,5,"4,066",,https://www.zillow.com/homedetails/3110-Brandy-Sta-SE-Atlanta-GA-30339/14318700_zpid/
Townhouse For Sale,3003 Ranch Rd SE,Atlanta,GA,30339,979000,4,6,"4,185",Dorsey Alston Realtors,https://www.zillow.com/homedetails/3003-Ranch-Rd-SE-Atlanta-GA-30339/2144109313_zpid/
Townhouse For Sale,2714 Paces Lookout Way SE,Atlanta,GA,30339,1100000,4,5,"4,206",,https://www.zillow.com/homedetails/2714-Paces-Lookout-Way-SE-Atlanta-GA-30339/122468069_zpid/
House For Sale,3961 Paces Ferry Dr SE,Atlanta,GA,30339,1999000,5,6,"5,552",Atlanta Fine Homes Sotheby's International Realty,https://www.zillow.com/homedetails/3961-Paces-Ferry-Dr-SE-Atlanta-GA-30339/14319916_zpid/
Condo For Sale,2400 Cumberland Pkwy SE UNIT 814,Atlanta,GA,30339,239900,3,2,"1,554",RE/MAX Center,https://www.zillow.com/homedetails/2400-Cumberland-Pkwy-SE-UNIT-814-Atlanta-GA-30339/60157535_zpid/
Condo For Sale,4825 Longcourt Dr SE,Atlanta,GA,30339,275000,3,4,"2,453",Solid Source Realty GA,https://www.zillow.com/homedetails/4825-Longcourt-Dr-SE-Atlanta-GA-30339/2090528104_zpid/
