,RegionName,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,Zipcode,lat,long
101,Lithonia,Dekalb,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85700.0,90000.0,89900.0,89900.0,89900.0,94900.0,98500.0,104950.0,104500.0,107400.0,115000.0,108000.0,108540.0,109900.0,110000.0,124000.0,120000.0,125000.0,119900.0,120000.0,120000.0,124950.0,120000.0,126000.0,125000.0,130000,135000.0,139900.0,141507.5,141515.0,141515.0,143757.5,30058,33.73835,-84.107376
102,Locust Grove,Henry,2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900.0,168900.0,182500.0,164250.0,184700.0,175000.0,174900.0,169900.0,184900.0,180000.0,179900.0,173950.0,189900.0,186990.0,195990.0,193900.0,186250.0,174900.0,172950.0,179900.0,185000.0,190990.0,191995.0,189900.0,190000.0,189850.0,189990.0,179900.0,179990.0,179900.0,179900.0,179900.0,179917.0,177900.0,184900.0,184900.0,186900.0,186900.0,189900.0,191900.0,190000,198900.0,201440.0,204900.0,209000.0,199900.0,194600.0,30248,33.351568,-84.106002
103,Loganville,Walton,7038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169999.0,175650.0,179550.0,182495.0,191990.0,199795.0,179650.0,192990.0,210940.0,217950.0,214920.0,214900.0,217940.0,219770.0,195900.0,200000.0,212440.0,210000.0,217057.5,217115.0,219900.0,228990.0,194950.0,188750.0,199000.0,217115.0,234200.0,234200,241495.0,239500.0,241900.0,238995.0,240200.0,239900.0,30052,33.815151,-83.893561
104,Lovejoy,Clayton,6451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127555.0,129000.0,119900.0,138900.0,149990.0,148990.0,149990.0,152095,152950.0,155919.5,154495.0,157195.0,155675.0,155675.0,30250,33.436535,-84.314213
105,Mableton,Cobb,1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000.0,205000.0,209999.5,210303.5,216000.0,224950.0,225000.0,227500.0,225000.0,213450.0,215000.0,210000.0,209900.0,205000.0,204900.0,204900.0,214990.0,215000.0,229400.0,229900.0,234700.0,245000.0,241000.0,238000.0,234950.0,244800.0,249950.0,244900.0,241950.0,245000.0,245000.0,250000.0,249900.0,249900.0,239800.0,235000.0,236750.0,236450.0,234900.0,228990.0,236000,255000.0,260000.0,265000.0,260000.0,259900.0,250000.0,30126,33.815023,-84.553798
106,Madison,Morgan,3914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249000.0,229950.0,249000.0,249500.0,279900.0,288000.0,276950.0,281000.0,289400.0,254950.0,249900.0,249500.0,249000.0,249500.0,249250.0,249000.0,249900.0,249500.0,258900.0,272450.0,258900.0,259900.0,288065.0,288000.0,294000.0,298500.0,299000.0,299000.0,299900.0,314900.0,314900.0,325000.0,341900.0,339000.0,339000.0,336400.0,335000.0,317750.0,289900.0,289900.0,283450,290000.0,299500.0,309950.0,332700.0,360000.0,349450.0,30650,33.583689,-83.47354399999999
107,Manchester,Meriwether,6030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88000.0,81350.0,81350.0,89500.0,88000.0,87700.0,82450.0,77450.0,79900.0,79900.0,86250.0,80100.0,79000.0,75000.0,77850.0,79900.0,76900.0,71200.0,71200.0,72522.5,72000.0,73845.0,75322.5,74400,82500.0,79950.0,76500.0,79600.0,85750.0,82450.0,31816,32.881465000000006,-84.60815
108,Marietta,Cobb,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000.0,229900.0,235000.0,242900.0,249900.0,250000.0,249900.0,249900.0,250000.0,245000.0,239250.0,236856.0,249800.0,250000.0,255000.0,254700.0,260000.0,254900.0,250000.0,254900.0,249999.0,249900.0,240000.0,244900.0,249900.0,257250.0,269000.0,274900.0,275000.0,275000.0,278625.0,284937.5,282450.0,285000.0,279900.0,290000.0,299900.0,309900.0,324900.0,325000.0,325000.0,325000.0,315000.0,310607.5,312500.0,320000.0,319000.0,319800.0,320000.0,334450,339900.0,339900.0,335000.0,335000.0,335000.0,339000.0,30008,33.900566999999995,-84.590924
109,Marietta,Cobb,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000.0,229900.0,235000.0,242900.0,249900.0,250000.0,249900.0,249900.0,250000.0,245000.0,239250.0,236856.0,249800.0,250000.0,255000.0,254700.0,260000.0,254900.0,250000.0,254900.0,249999.0,249900.0,240000.0,244900.0,249900.0,257250.0,269000.0,274900.0,275000.0,275000.0,278625.0,284937.5,282450.0,285000.0,279900.0,290000.0,299900.0,309900.0,324900.0,325000.0,325000.0,325000.0,315000.0,310607.5,312500.0,320000.0,319000.0,319800.0,320000.0,334450,339900.0,339900.0,335000.0,335000.0,335000.0,339000.0,30060,33.925711,-84.541608
110,Marietta,Cobb,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000.0,229900.0,235000.0,242900.0,249900.0,250000.0,249900.0,249900.0,250000.0,245000.0,239250.0,236856.0,249800.0,250000.0,255000.0,254700.0,260000.0,254900.0,250000.0,254900.0,249999.0,249900.0,240000.0,244900.0,249900.0,257250.0,269000.0,274900.0,275000.0,275000.0,278625.0,284937.5,282450.0,285000.0,279900.0,290000.0,299900.0,309900.0,324900.0,325000.0,325000.0,325000.0,315000.0,310607.5,312500.0,320000.0,319000.0,319800.0,320000.0,334450,339900.0,339900.0,335000.0,335000.0,335000.0,339000.0,30062,34.006496999999996,-84.472974
111,Marietta,Cobb,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000.0,229900.0,235000.0,242900.0,249900.0,250000.0,249900.0,249900.0,250000.0,245000.0,239250.0,236856.0,249800.0,250000.0,255000.0,254700.0,260000.0,254900.0,250000.0,254900.0,249999.0,249900.0,240000.0,244900.0,249900.0,257250.0,269000.0,274900.0,275000.0,275000.0,278625.0,284937.5,282450.0,285000.0,279900.0,290000.0,299900.0,309900.0,324900.0,325000.0,325000.0,325000.0,315000.0,310607.5,312500.0,320000.0,319000.0,319800.0,320000.0,334450,339900.0,339900.0,335000.0,335000.0,335000.0,339000.0,30064,33.940455,-84.609708
112,Marietta,Cobb,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000.0,229900.0,235000.0,242900.0,249900.0,250000.0,249900.0,249900.0,250000.0,245000.0,239250.0,236856.0,249800.0,250000.0,255000.0,254700.0,260000.0,254900.0,250000.0,254900.0,249999.0,249900.0,240000.0,244900.0,249900.0,257250.0,269000.0,274900.0,275000.0,275000.0,278625.0,284937.5,282450.0,285000.0,279900.0,290000.0,299900.0,309900.0,324900.0,325000.0,325000.0,325000.0,315000.0,310607.5,312500.0,320000.0,319000.0,319800.0,320000.0,334450,339900.0,339900.0,335000.0,335000.0,335000.0,339000.0,30066,34.032388,-84.505154
113,Marietta,Cobb,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000.0,229900.0,235000.0,242900.0,249900.0,250000.0,249900.0,249900.0,250000.0,245000.0,239250.0,236856.0,249800.0,250000.0,255000.0,254700.0,260000.0,254900.0,250000.0,254900.0,249999.0,249900.0,240000.0,244900.0,249900.0,257250.0,269000.0,274900.0,275000.0,275000.0,278625.0,284937.5,282450.0,285000.0,279900.0,290000.0,299900.0,309900.0,324900.0,325000.0,325000.0,325000.0,315000.0,310607.5,312500.0,320000.0,319000.0,319800.0,320000.0,334450,339900.0,339900.0,335000.0,335000.0,335000.0,339000.0,30067,33.934278000000006,-84.46218499999999
114,Marietta,Cobb,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000.0,229900.0,235000.0,242900.0,249900.0,250000.0,249900.0,249900.0,250000.0,245000.0,239250.0,236856.0,249800.0,250000.0,255000.0,254700.0,260000.0,254900.0,250000.0,254900.0,249999.0,249900.0,240000.0,244900.0,249900.0,257250.0,269000.0,274900.0,275000.0,275000.0,278625.0,284937.5,282450.0,285000.0,279900.0,290000.0,299900.0,309900.0,324900.0,325000.0,325000.0,325000.0,315000.0,310607.5,312500.0,320000.0,319000.0,319800.0,320000.0,334450,339900.0,339900.0,335000.0,335000.0,335000.0,339000.0,30068,33.968115999999995,-84.43170400000001
115,Milner,Lamar,6642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162900.0,179900.0,163000.0,183450.0,189900.0,217400.0,198700.0,199900,184500.0,184500.0,174750.0,165000.0,164900.0,159450.0,30257,33.143414,-84.18621999999999
116,Monroe,Walton,4905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121900.0,109900.0,103900.0,115000.0,119900.0,126000.0,128000.0,124950.0,119900.0,119900.0,119900.0,119900.0,126000.0,114950.0,119900.0,109900.0,111950.0,104900.0,106000.0,119900.0,119900.0,118250.0,113450.0,109900.0,119500.0,120000.0,129895.0,129895.0,134900.0,129400,129400.0,134900.0,139900.0,149000.0,142950.0,143000.0,30655,33.781688,-83.696095
117,Monroe,Walton,4905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121900.0,109900.0,103900.0,115000.0,119900.0,126000.0,128000.0,124950.0,119900.0,119900.0,119900.0,119900.0,126000.0,114950.0,119900.0,109900.0,111950.0,104900.0,106000.0,119900.0,119900.0,118250.0,113450.0,109900.0,119500.0,120000.0,129895.0,129895.0,134900.0,129400,129400.0,134900.0,139900.0,149000.0,142950.0,143000.0,30656,33.862137,-83.716175
118,Monticello,Jasper,4865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118450.0,119900.0,129500.0,129000.0,126950.0,129000.0,129000.0,120000.0,129000.0,118000.0,114950.0,124900.0,124950.0,124950.0,118500.0,125000.0,132500.0,130750.0,136750.0,147000.0,166800.0,158500.0,132500.0,139000.0,139450.0,149950.0,158450,181100.0,184500.0,184700.0,179450.0,169900.0,164900.0,31064,33.286454,-83.702299
119,Newnan,Coweta,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000.0,179900.0,179950.0,178899.0,179000.0,179900.0,182000.0,187611.0,184950.0,189900.0,189900.0,194000.0,198000.0,198000.0,198000.0,199900.0,199000.0,199900.0,204900.0,199900.0,199900.0,207990.0,200000.0,209900.0,200000.0,209900.0,209990.0,214900.0,215000.0,217267.0,219900.0,218500.0,219281.5,218246.0,214900.0,215000.0,215000.0,217990.0,217500.0,208500.0,219900.0,220500.0,226400.0,231301.0,236000.0,233900.0,229900.0,225900.0,220000.0,219800.0,219900.0,229700,229945.0,235250.0,244950.0,244900.0,249900.0,241350.0,30263,33.388415,-84.858937
120,Newnan,Coweta,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000.0,179900.0,179950.0,178899.0,179000.0,179900.0,182000.0,187611.0,184950.0,189900.0,189900.0,194000.0,198000.0,198000.0,198000.0,199900.0,199000.0,199900.0,204900.0,199900.0,199900.0,207990.0,200000.0,209900.0,200000.0,209900.0,209990.0,214900.0,215000.0,217267.0,219900.0,218500.0,219281.5,218246.0,214900.0,215000.0,215000.0,217990.0,217500.0,208500.0,219900.0,220500.0,226400.0,231301.0,236000.0,233900.0,229900.0,225900.0,220000.0,219800.0,219900.0,229700,229945.0,235250.0,244950.0,244900.0,249900.0,241350.0,30265,33.418686,-84.713164
121,Norcross,Gwinnett,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94800.0,90250.0,94000.0,98000.0,109700.0,110000.0,115000.0,119900.0,120000.0,125000.0,125000.0,128944.0,129700.0,125000.0,125000.0,125000.0,130000.0,130000.0,134900.0,139000.0,137800.0,143250.0,148000.0,146900.0,144900.0,140000.0,144900.0,145000.0,145000.0,153450.0,159900.0,160000.0,160000.0,159900.0,159000.0,154450.0,159900.0,169000.0,164900.0,160000.0,160000,165900.0,165000.0,167900.0,169900.0,172000.0,175000.0,30071,33.940652,-84.206734
122,Norcross,Gwinnett,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94800.0,90250.0,94000.0,98000.0,109700.0,110000.0,115000.0,119900.0,120000.0,125000.0,125000.0,128944.0,129700.0,125000.0,125000.0,125000.0,130000.0,130000.0,134900.0,139000.0,137800.0,143250.0,148000.0,146900.0,144900.0,140000.0,144900.0,145000.0,145000.0,153450.0,159900.0,160000.0,160000.0,159900.0,159000.0,154450.0,159900.0,169000.0,164900.0,160000.0,160000,165900.0,165000.0,167900.0,169900.0,172000.0,175000.0,30092,33.972386,-84.23198599999999
123,Norcross,Gwinnett,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94800.0,90250.0,94000.0,98000.0,109700.0,110000.0,115000.0,119900.0,120000.0,125000.0,125000.0,128944.0,129700.0,125000.0,125000.0,125000.0,130000.0,130000.0,134900.0,139000.0,137800.0,143250.0,148000.0,146900.0,144900.0,140000.0,144900.0,145000.0,145000.0,153450.0,159900.0,160000.0,160000.0,159900.0,159000.0,154450.0,159900.0,169000.0,164900.0,160000.0,160000,165900.0,165000.0,167900.0,169900.0,172000.0,175000.0,30093,33.908536,-84.17734899999999
