No,price
560,175500
561,178500
562,110000
563,105000
564,35200
565,121000
566,101000
567,137600
568,107900
569,95000
570,94000
571,117000
572,108500
573,122000
574,137600
575,112000
576,125000
577,239000
578,204900
579,201000
580,201000
581,198000
582,193800
583,184900
584,184000
585,172500
586,165000
587,93000
588,177210
589,204000
590,186000
591,185500
592,200000
593,200000
594,204900
595,176000
596,185000
597,183150
598,172500
599,125000
600,249900
601,269000
602,278000
603,278000
604,235000
605,160000
606,130000
607,100000
608,125600
609,126500
610,128000
611,202000
612,194000
613,195000
614,194736
615,200000
616,195000
617,185000
618,218000
619,208000
620,205000
621,205000
622,199000
623,219000
624,208000
625,216500
626,206000
627,205000
628,219000
629,211000
630,222000
631,215000
632,220000
633,220000
634,199500
635,225000
636,225000
637,219450
638,217000
639,228000
640,219000
641,194000
642,183000
643,102500
644,110000
645,116000
646,127000
647,195000
648,172500
649,172500
650,195000
651,125000
652,117000
653,173000
654,132000
655,130000
656,127500
657,127000
658,127000
659,127000
660,125000
661,125000
662,120000
663,117000
664,117000
665,132000
666,155000
667,120000
668,120000
669,143000
670,146500
671,131500
672,120000
673,135000
674,124000
675,145900
676,143272
677,143272
678,131500
679,131500
680,199900
681,199900
682,128000
683,137500
684,137500
685,135000
686,160000
687,184535
688,186000
689,186000
690,195000
691,195000
692,292500
693,290000
694,281900
695,285000
696,235000
697,293000
698,125000
699,111500
700,114000
701,114000
702,69000
703,68250
704,125000
705,225000
706,200000
707,239000
708,275000
709,255000
710,248000
711,215000
712,265000
713,425000
714,33000
715,375000
716,29000
717,59000
718,60000
719,121900
720,108000
721,128000
722,128000
723,134000
724,134000
725,88650
726,85000
727,85000
728,88000
729,90000
730,115000
731,162500
732,32000
733,415000
734,100000
735,100000
736,95000
737,87000
738,110000
739,177000
740,134000
741,165000
742,145500
743,265000
744,330000
745,191500
746,65000
747,65000
748,186000
749,200000
750,213000
751,195000
752,134000
753,249500
754,315400
755,244900
756,245000
757,250000
758,229900
759,234000
760,230000
761,234000
762,132000
763,249900
764,259000
765,250000
766,128000
767,300000
